slide_num,slide_title,matched_titulo_sugerido,matched_nombre,matched_tipo,sheet,similarity_0to1
43,04. Panorama electoral | Cruce | Voto anterior balotaje a presidente 2023,Apertura Pablo Carro por Fuerza Patria,Pablo Carro por Fuerza Patria,desconocido,PROYE,0.3243
44,47%,Apertura Total,Total,desconocido,Sheet1,0.0
45,04. Panorama electoral | Entre el 9 % indeciso del escenario por candidato | Candidato que le,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.3776
46,40%,Apertura Total,Total,desconocido,Sheet1,0.0
47,32%40% 40%12%10% 11%12%7% 5%13% 10%10%31% 33%35%,Apertura A un candidato del PRO,A un candidato del PRO,desconocido,PROYE,0.1266
48,04. Panorama electoral | Apertura probabilidad de votar a  Natalia de la Sota por Defendamos,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.5915
49,04. Panorama electoral | Apertura probabilidad de votar a un candidato de Provincias Unidas,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.6519
50,0%10%20%30%40%50%60%70%80%90%100%,Apertura Total,Total,desconocido,Sheet1,0.0
51,04. Panorama electoral | Análisis cualitativo | Potencialidad electoral de Natalia de la Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.3077
52,04. Panorama electoral | Análisis cualitativo | Potencialidad electoral de Natalia de la Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.3077
53,04. Panorama electoral | Análisis cualitativo | Potencialidad electoral de Natalia de la Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.3077
54,04. Panorama electoral | Análisis cualitativo | Potencialidad electoral de un candidato de,Apertura A un candidato del PRO,A un candidato del PRO,desconocido,PROYE,0.3471
55,04. Panorama electoral | Análisis cualitativo | Potencialidad electoral de un candidato de,Apertura A un candidato del PRO,A un candidato del PRO,desconocido,PROYE,0.3471
56,"04. Panorama electoral | Abierta | Si yo le menciono el slogan “Defendamos Córdoba” , ¿con qué",Apertura A un candidato de Defendamos Córdoba,A un candidato de Defendamos Córdoba,desconocido,PROYE,0.4317
57,"04. Panorama electoral | Abierta | Si yo le menciono el slogan “Defendamos Córdoba” , ¿con qué",Apertura A un candidato de Defendamos Córdoba,A un candidato de Defendamos Córdoba,desconocido,PROYE,0.4317
58,04. Panorama electoral | Abierta | ¿Usted asocia esta idea (“Defendamos Córdoba”) con algún,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.4965
59,04. Panorama electoral | Abierta | Apertura asocia esta idea (“Defendamos Córdoba”) con algún,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.5175
60,"04. Panorama electoral | Abierta | Si yo le menciono el slogan “Provincias Unidas ”, ¿con qué lo",Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.4143
61,"04. Panorama electoral | Abierta | Si yo le menciono el slogan “Provincias Unidas” , ¿con qué lo",Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.4143
62,04. Panorama electoral | Abierta | ¿Usted asocia esta idea (“Provincias Unidas”) con algún dirigente,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.4167
63,04. Panorama electoral | Abierta | Apertura asocia esta idea (“Provincias Unidas”) con algún,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.4853
64,05.,Apertura .,0.3767800602976596,desconocido,Sheet1,0.1538
65,No difundir este material sin autorización previa | 65¿Cuánta confianza te genera…?05. Motivos del voto | Nivel de confianza de los distintos dirigentes,Apertura Liliana Olivero por Frente de Izquierda – Unidad,Liliana Olivero por Frente de Izquierda – Unidad,desconocido,PROYE,0.2584
66,0%10%20%30%40%50%60%70%80%90%100%,Apertura Total,Total,desconocido,Sheet1,0.0
67,11%23%,Apertura Total,Total,desconocido,Sheet1,0.0
68,22%25%,Apertura Total,Total,desconocido,Sheet1,0.0
69,05. Motivos del voto | Apertura continuidad o cambio del gobierno nacional de Javier Milei,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.3881
70,05. Motivos del voto | Apertura continuidad o cambio del gobierno provincial de Martín Llaryora,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.446
71,05. Motivos del voto | Apertura continuidad o cambio del peronismo cordobés,Apertura A un candidato de Defendamos Córdoba,A un candidato de Defendamos Córdoba,desconocido,PROYE,0.4833
72,05. Motivos del voto | Mejor gobernador que tuvo la provincia de Córdoba,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.322
73,05. Motivos del voto | Apertura mejor gobernador que tuvo la provincia de Córdoba,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.464
74,05. Motivos del voto | Votaría a un candidato que continúe con el legado de José Manuel De La Sota,Apertura A un candidato de Fuerza Patria,A un candidato de Fuerza Patria,desconocido,PROYE,0.4058
75,05. Motivos del voto | Apertura votaría a un candidato que continúe con el legado de José Manuel De La Sota,Apertura A un candidato de Fuerza Patria,A un candidato de Fuerza Patria,desconocido,PROYE,0.449
76,05. Motivos del voto | Abierta | ¿Qué le gustaría que este candidato imite de DeLa Sota?,Apertura A un candidato de Fuerza Patria,A un candidato de Fuerza Patria,desconocido,PROYE,0.4375
77,05. Motivos del voto | Abierta | ¿Qué le gustaría que este candidato imite de DeLa Sota?,Apertura A un candidato de Fuerza Patria,A un candidato de Fuerza Patria,desconocido,PROYE,0.4375
78,06.,Apertura .,0.3767800602976596,desconocido,Sheet1,0.1538
79,06. Situación actual | Situación provincial | Situación actual de la provincia de Córdoba,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.4317
80,06. Situación actual | Situación provincial | Situación actual de la provincia de Córdoba,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.4317
81,06. Situación actual | Situación provincial | Apertura situación actual de la provincia de Córdoba,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.4324
82,6%34% 35%,Apertura .,0.3767800602976596,desconocido,Sheet1,0.1053
83,6%34% 35%,Apertura .,0.3767800602976596,desconocido,Sheet1,0.1053
84,06. Situación actual | Problemáticas | Principal problemática de la Argentina,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.3465
85,No difundir este material sin autorización previa | 85 Encuesta de opinión pública -Provincia de Córdoba | Octubre 2025 06. Situación actual | Problemáticas | Evolutivo p rincipal problemática de la Argentina,Apertura Ramón Mestre por Unión Cívica Radical,Ramón Mestre por Unión Cívica Radical,desconocido,PROYE,0.2126
86,06. Situación actual | Problemáticas | Apertura principal problemática de la Argentina,Apertura Gonzalo Roca por La Libertad Avanza,Gonzalo Roca por La Libertad Avanza,desconocido,PROYE,0.3846
87,06. Situación actual | Problemáticas | Principal problemática de Córdoba,Apertura A un candidato de Defendamos Córdoba,A un candidato de Defendamos Córdoba,desconocido,PROYE,0.359
88,No difundir este material sin autorización previa | 88 Encuesta de opinión pública -Provincia de Córdoba | Octubre 2025 06. Situación actual | Problemáticas | Evolutivo principal problemática de Córdoba,Apertura Ramón Mestre por Unión Cívica Radical,Ramón Mestre por Unión Cívica Radical,desconocido,PROYE,0.2177
89,06. Situación actual | Problemáticas | Apertura principal problemática de Córdoba,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.3817
90,06. Situación actual | Problemáticas | Abierta | ¿Cuál dirías que es el principal problema de la,Apertura A un candidato de la UCR,A un candidato de la UCR,desconocido,PROYE,0.2946
91,06. Situación actual | Problemáticas | Abierta | ¿Cuál dirías que es el principal problema de la,Apertura A un candidato de la UCR,A un candidato de la UCR,desconocido,PROYE,0.2946
92,No difundir este material sin autorización previa | 92¿Cómo es la situación económica …?06. Situación actual | Situación económica | Evaluación de la situación económica del país,Apertura Ramón Mestre por Unión Cívica Radical,Ramón Mestre por Unión Cívica Radical,desconocido,PROYE,0.2054
93,06. Situación actual | Situación económica | Apertura situación actual del país,Apertura A un candidato del PRO,A un candidato del PRO,desconocido,PROYE,0.3636
94,06. Situación actual | Situación económica | Apertura situación económica personal,Apertura Ramón Mestre por Unión Cívica Radical,Ramón Mestre por Unión Cívica Radical,desconocido,PROYE,0.375
95,34%,Apertura Total,Total,desconocido,Sheet1,0.0
96,06. Situación actual | Ajuste | Apertura grado de acuerdo con el ajuste en la economía que,Apertura Agustín Spaccesi por el Partido Libertario,Agustín Spaccesi por el Partido Libertario,desconocido,PROYE,0.3546
97,06. Situación actual | Ajuste | Apertura cuanto más esta dispuesto a soportar el ajuste según,Apertura A un candidato de La Libertad Avanza,A un candidato de La Libertad Avanza,desconocido,PROYE,0.3768
98,06. Situación actual | R umbo |Cómo cree que es el rumbo del gobierno nacional de Javier Milei,Apertura Liliana Olivero por Frente de Izquierda – Unidad,Liliana Olivero por Frente de Izquierda – Unidad,desconocido,PROYE,0.2914
99,06. Situación actual | Rumbo |Apertura rumbo del gobierno nacional de Javier Milei,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.3492
100,06. Situación actual | Ajuste | Tuvo que hacer ajustes o recortes en su vida cotidiana y cuáles ( entre,Apertura Gonzalo Roca por La Libertad Avanza,Gonzalo Roca por La Libertad Avanza,desconocido,PROYE,0.2721
101,06. Situación actual | Ajuste | Apertura tuvo que hacer ajustes o recortes en su vida cotidiana,Apertura Gonzalo Roca por La Libertad Avanza,Gonzalo Roca por La Libertad Avanza,desconocido,PROYE,0.3597
102,0%10%20%30%40%50%60%70%80%90%100%,Apertura Total,Total,desconocido,Sheet1,0.0
103,07.,Apertura .,0.3767800602976596,desconocido,Sheet1,0.1538
104,No difundir este material sin autorización previa | 104 Encuesta de opinión pública -Provincia de Córdoba | Octubre 202507. Natalia de la Sota | Abierta |Primera palabra que le viene a la mente cuando piensa en NDLS,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.2792
105,7% 7% 6% 5% 4% 3%7%42%,Apertura A un candidato del PRO,A un candidato del PRO,desconocido,PROYE,0.1887
106,No difundir este material sin autorización previa | 106 Encuesta de opinión pública -Provincia de Córdoba | Octubre 202507. Natalia de la Sota | Características | Evolutivo mejor característica de Natalia de la Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.2491
107,07. Natalia de la Sota | Características | Apertura mejor característica de Natalia de la Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.3889
108,30%,Apertura Total,Total,desconocido,Sheet1,0.0
109,No difundir este material sin autorización previa | 109 Encuesta de opinión pública -Provincia de Córdoba | Octubre 202507. Natalia de la Sota | Dirigentes | Evolutivo dirigente más cercano a Natalia de la Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.2769
110,07. Natalia de la Sota | Dirigentes | Apertura dirigente más cercano a Natalia de la Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.446
111,61%,Apertura Total,Total,desconocido,Sheet1,0.0
112,No difundir este material sin autorización previa | 112 Encuesta de opinión pública -Provincia de Córdoba | Octubre 202507. Natalia de la Sota | Dirigentes | Dirigente opuesto a Natalia de la Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.2602
113,07. Natalia de la Sota | Dirigentes | Apertura dirigente opuesto a Natalia de la Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.3852
114,No difundir este material sin autorización previa | 114Qué tan de acuerdo estás con las siguientes afirmaciones:07. Natalia de la Sota | Afirmaciones | Nivel de acuerdo con las afirmaciones,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.2845
115,0%10%20%30%40%50%60%70%80%90%100%,Apertura Total,Total,desconocido,Sheet1,0.0
116,08.,Apertura .,0.3767800602976596,desconocido,Sheet1,0.1538
117,No difundir este material sin autorización previa | 117 Encuesta de opinión pública -Provincia de Córdoba | Octubre 202508. Publicidad electoral | Vio alguna publicidad relacionada a las campañas electorales,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.2151
118,No difundir este material sin autorización previa | 118 Encuesta de opinión pública -Provincia de Córdoba | Octubre 202508. Publicidad electoral | Evolutivo vio alguna publicidad relacionada a las campañas electorales,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.2069
119,08. Publicidad electoral | Apertura vio algún tipo de publicidad electoral vinculada a las elecciones de,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.3919
120,08. Publicidad electoral | Múltiple | Entre el 72% que SIvio alguna publicidad | De qué,Apertura Ramón Mestre por Unión Cívica Radical,Ramón Mestre por Unión Cívica Radical,desconocido,PROYE,0.2857
121,08. Publicidad electoral | Múltiple | Entre el 72% que SIvio alguna publicidad | Evolutivo de,Apertura Ramón Mestre por Unión Cívica Radical,Ramón Mestre por Unión Cívica Radical,desconocido,PROYE,0.2734
122,0%10%20%30%40%50%60%70%80%90%100%,Apertura Total,Total,desconocido,Sheet1,0.0
123,08. Publicidad electoral | Múltiple | Entre el 72% que SIvio alguna publicidad | Tipo de,Apertura Ramón Mestre por Unión Cívica Radical,Ramón Mestre por Unión Cívica Radical,desconocido,PROYE,0.2836
124,08. Publicidad electoral | Múltiple | Entre el 72% que SIvio alguna publicidad | Evolutivo tipo de,Apertura Ramón Mestre por Unión Cívica Radical,Ramón Mestre por Unión Cívica Radical,desconocido,PROYE,0.2639
125,0%10%20%30%40%50%60%70%80%90%100%,Apertura Total,Total,desconocido,Sheet1,0.0
126,"08. Publicidad electoral | Abierta | De todos los candidatos que recuerde, ¿de cual ha sido el que",Apertura p p. Y pensando en candidatos a quién votarías si la elección fuese este domingo,p12 p12. ¿Y pensando en candidatos a quién votarías si la elección fuese este domingo?,desconocido,PROYE,0.3957
127,"08. Publicidad electoral | Abierta | Apertura de todos los candidatos que recuerde, ¿de cual ha sido",Apertura A un candidato de Fuerza Patria,A un candidato de Fuerza Patria,desconocido,PROYE,0.4143
128,09.,Apertura .,0.3767800602976596,desconocido,Sheet1,0.1538
129,38%,Apertura Total,Total,desconocido,Sheet1,0.0
130,No difundir este material sin autorización previa | 130 Encuesta de opinión pública -Provincia de Córdoba | Octubre 202509. Medios y redes | Evolutivo medio en el que se informa a diario,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.2203
131,09. Medios y redes | Apertura medio por el cual se informa a diario,Apertura Agustín Spaccesi por el Partido Libertario,Agustín Spaccesi por el Partido Libertario,desconocido,PROYE,0.4576
132,33%,Apertura Total,Total,desconocido,Sheet1,0.0
133,No difundir este material sin autorización previa | 133 Encuesta de opinión pública -Provincia de Córdoba | Octubre 202509. Medios y redes | Evolutivo red social más utilizada,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.2466
134,09. Medios y redes | Apertura red social más utilizada,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.44
135,A1.,Apertura .,0.3767800602976596,desconocido,Sheet1,0.3077
136,A1. Otros cuadros | Apertura clase social autopercibida,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.4444
137,A1. Otros cuadros | Evolutivo cercanía partidaria,Apertura Agustín Spaccesi por el Partido Libertario,Agustín Spaccesi por el Partido Libertario,desconocido,PROYE,0.34
138,A1. Otros cuadros | Apertura cercanía partidaria,Apertura Pablo Carro por Fuerza Patria,Pablo Carro por Fuerza Patria,desconocido,PROYE,0.4651
139,A1. Otros cuadros | Apertura cercanía partidaria provincial,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.4854
140,APERTURA DE LAS,Apertura En blanco,En blanco,desconocido,PROYE,0.7879
141,A2. Imágenes | Nacionales | Apertura imagen de Javier Milei,Apertura Un candidato de la izquierda,Un candidato de la izquierda,desconocido,PROYE,0.3958
142,A2. Imágenes | Nacionales | Apertura imagen de Mauricio Macri,Apertura A un candidato de la UCR,A un candidato de la UCR,desconocido,PROYE,0.4043
143,A2. Imágenes | Nacionales | Apertura imagen de Cristina Fernández de Kirchner,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.3636
144,A2. Imágenes | Provinciales | Apertura imagen de Juan Schiaretti,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.4364
145,A2. Imágenes | Provinciales | Apertura imagen de Natalia De La Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.4615
146,A2. Imágenes | Provinciales | Apertura imagen de Pablo Carro,Apertura A un candidato de la UCR,A un candidato de la UCR,desconocido,PROYE,0.4086
147,A2. Imágenes | Provinciales | Apertura imagen de Ramón Mestre,Apertura A un candidato de Fuerza Patria,A un candidato de Fuerza Patria,desconocido,PROYE,0.396
148,A2. Imágenes | Provinciales | Apertura imagen de Héctor Baldassi,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.4
149,A2. Imágenes | Provinciales | Apertura imagen de Gonzalo Roca,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.4144
150,A2. Imágenes | Provinciales | Apertura imagen de Martín Llaryora,Apertura Un candidato de la izquierda,Un candidato de la izquierda,desconocido,PROYE,0.3762
151,A2. Imágenes | Provinciales | Apertura imagen de Aurelio García Elorrio,Apertura Agustín Spaccesi por el Partido Libertario,Agustín Spaccesi por el Partido Libertario,desconocido,PROYE,0.3934
152,A2. Imágenes | Provinciales | Apertura imagen de Oscar Agost Carreño,Apertura Agustín Spaccesi por el Partido Libertario,Agustín Spaccesi por el Partido Libertario,desconocido,PROYE,0.3866
153,APERTURAS DE LA,Apertura En blanco,En blanco,desconocido,PROYE,0.7879
154,A3. Potencialidad de voto | Apertura probabilidad de votar a un candidato de La Libertad Avanza,Apertura A un candidato de La Libertad Avanza,A un candidato de La Libertad Avanza,desconocido,PROYE,0.6429
155,A3. Potencialidad de voto | Apertura probabilidad de votar a un candidato del peronismo de,Apertura A un candidato del PRO,A un candidato del PRO,desconocido,PROYE,0.5124
156,A3. Potencialidad de voto | Apertura probabilidad de votar a un candidato del peronismo de,Apertura A un candidato del PRO,A un candidato del PRO,desconocido,PROYE,0.5124
157,A3. Potencialidad de voto | Apertura probabilidad de votar a un candidato de Provincias Unidas,Apertura A un candidato de Provincias Unidas,A un candidato de Provincias Unidas,desconocido,PROYE,0.6377
158,A3. Potencialidad de voto | Apertura probabilidad de votar a  Natalia de la Sota por Defendamos,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.5793
159,APERTURA DE CONFIANZA,Apertura En blanco,En blanco,desconocido,PROYE,0.6667
160,A4. Motivos del voto | Apertura confianza en Juan Schiaretti,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.4528
161,A4. Motivos del voto | Apertura confianza en Gonzalo Roca,Apertura Gonzalo Roca por La Libertad Avanza,Gonzalo Roca por La Libertad Avanza,desconocido,PROYE,0.4158
162,A4. Motivos del voto | Apertura confianza en Natalia De la Sota,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.4779
163,A4. Motivos del voto | Apertura confianza en Martín Llaryora,Apertura A un candidato del PRO,A un candidato del PRO,desconocido,PROYE,0.3956
164,A4. Motivos del voto | Apertura confianza generada por el hecho de que Natalia De La Sota sea hija,Apertura Liliana Olivero por Frente de Izquierda – Unidad,Liliana Olivero por Frente de Izquierda – Unidad,desconocido,PROYE,0.4387
165,APERTURA DE LAS,Apertura En blanco,En blanco,desconocido,PROYE,0.7879
166,A5. Afirmaciones sobre NDLS | Apertura opinión sobre la afirmación: “Mientras Juan Schiaretti,Apertura Juan Schiaretti por Provincias Unidas,Juan Schiaretti por Provincias Unidas,desconocido,PROYE,0.3453
167,"A5. Afirmaciones sobre NDLS | Apertura opinión sobre la afirmación: “Al contrario de Juan Schiaretti ,",Apertura A un candidato de Fuerza Patria,A un candidato de Fuerza Patria,desconocido,PROYE,0.338
168,A5. Afirmaciones sobre NDLS | Apertura opinión sobre la afirmación: “Me gustaría conocer más a,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.3472
169,A5. Afirmaciones sobre NDLS | Apertura opinión sobre la afirmación: “Natalia de La Sota es la,Apertura Natalia de la Sota por Defendamos Córdoba,Natalia de la Sota por Defendamos Córdoba,desconocido,PROYE,0.4476
