slide_num,slide_title,matched_titulo_sugerido,matched_nombre,matched_tipo,sheet,similarity_0to1
43,05. Situación actual | Situación de la ciudad | Situación actual de la Ciudad de Buenos Aires,Apertura Un candidato de la Coalición Cívica de Elisa Carrió,Un candidato de la Coalición Cívica de Elisa Carrió,desconocido,PROYE,0.4052
44,05. Situación actual | Situación de la ciudad | Evolutivo situación actual de la Ciudad de,Apertura Un candidato de la Coalición Cívica de Elisa Carrió,Un candidato de la Coalición Cívica de Elisa Carrió,desconocido,PROYE,0.4133
45,05. Situación actual | Situación de la ciudad | Apertura situación actual de la,Apertura Facundo Manes de Para Adelante,Facundo Manes de Para Adelante,desconocido,PROYE,0.339
46,05. Situación actual |Problemáticas | Problemáticas I,Apertura Juan Martín Paleo y Ricardo López Murphy por Potencia,Juan Martín Paleo y Ricardo López Murphy por Potencia,desconocido,PROYE,0.3826
47,05. Situación actual |Problemáticas | Evolutivo problemáticas I,Apertura Christian Castillo por el Frente de Izquierda,Christian Castillo por el Frente de Izquierda,desconocido,PROYE,0.359
48,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 4818% 18%19% 19%19%20%16%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.335
49,05. Situación actual | Problemáticas |Problemáticas II,Apertura Juan Martín Paleo y Ricardo López Murphy por Potencia,Juan Martín Paleo y Ricardo López Murphy por Potencia,desconocido,PROYE,0.3793
50,05. Situación actual |Problemáticas | Evolutivo problemáticas II,Apertura Christian Castillo por el Frente de Izquierda,Christian Castillo por el Frente de Izquierda,desconocido,PROYE,0.3729
51,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 5119% 19%19%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.3579
52,A1.,Apertura .,0.25998159425540723,desconocido,Sheet1,0.3077
53,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 5317%15%19%17%23%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.3487
54,A1. Otros cuadros | Evolutivo cercanía partidaria,Apertura Mariano Recalde senador e Itaí Hagman diputado por Fuerza Patria,Mariano Recalde senador e Itaí Hagman diputado por Fuerza Patria,desconocido,PROYE,0.3934
55,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 5528% 26%29%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.3579
56,APERTURAS DE IMÁGENES,Apertura .,0.25998159425540723,desconocido,Sheet1,0.5806
57,A2. Imágenes | Nacionales | Apertura imagen de Javier Milei,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.4375
58,A2. Imágenes | Nacionales | Apertura imagen de Mauricio Macri,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.4286
59,A2. Imágenes | Nacionales | Apertura imagen de Cristina Fernández de Kirchner,Apertura Un candidato de Fuerza Patria de Cristina Fernández de Kirchner Axel Kicillof y Sergio Massa,Un candidato de Fuerza Patria de Cristina Fernández de Kirchner Axel Kicillof y Sergio Massa,desconocido,PROYE,0.5169
60,A2. Imágenes | Locales | Apertura imagen de Jorge Macri,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.4783
61,A2. Imágenes | Locales | Apertura imagen de Patricia Bullrich,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.4694
62,15% 14%16%14%22%,Apertura .,0.25998159425540723,desconocido,Sheet1,0.0769
63,A2. Imágenes | Locales | Apertura imagen de Graciela Ocaña,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.4632
64,A2. Imágenes | Locales | Apertura imagen de Alejandro Fargosi,Apertura Un candidato de Para Adelante de Facundo Manes,Un candidato de Para Adelante de Facundo Manes,desconocido,PROYE,0.431
65,A2. Imágenes | Locales | Apertura imagen de Itai Hagman,Apertura Facundo Manes de Para Adelante,Facundo Manes de Para Adelante,desconocido,PROYE,0.4468
66,A2. Imágenes | Locales | Apertura imagen de Martin Lousteau,Apertura Juan Martín Paleo por Potencia,Juan Martín Paleo por Potencia,desconocido,PROYE,0.4694
67,A2. Imágenes | Locales | Apertura imagen de Ana Arias,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.5111
68,A2. Imágenes | Locales | Apertura imagen de Kelly Olmos,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.413
69,A2. Imágenes | Locales | Apertura imagen de Facundo Manes,Apertura Un candidato de Para Adelante de Facundo Manes,Un candidato de Para Adelante de Facundo Manes,desconocido,PROYE,0.5357
70,A2. Imágenes | Locales | Apertura imagen de Leandro Santoro,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.4375
71,A2. Imágenes | Locales | Apertura imagen de Myriam Bregman,Apertura Un candidato del Frente de Izquierda de Myriam Bregman,Un candidato del Frente de Izquierda de Myriam Bregman,desconocido,PROYE,0.5124
72,APERTURAS DE LAS,Apertura En blanco,En blanco,desconocido,PROYE,0.7647
73,A3. Potencialidades de voto | Apertura probabilidad de votar a un candidato de La Libertad,Apertura Un candidato de Para Adelante de Facundo Manes,Un candidato de Para Adelante de Facundo Manes,desconocido,PROYE,0.4276
74,A3. Potencialidades de voto | Apertura probabilidad de votar a un candidato de Fuerza Patria de,Apertura Itaí Hagman de Fuerza Patria,Itaí Hagman de Fuerza Patria,desconocido,PROYE,0.5
75,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 7531%34%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.3656
76,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 7620% 18%21% 20%29%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.3452
77,A3. Potencialidades de voto | Apertura probabilidad de votar a Itai Hagman,Apertura Un candidato de Para Adelante de Facundo Manes,Un candidato de Para Adelante de Facundo Manes,desconocido,PROYE,0.4186
78,Tracking electoral 7 –CABA | Octubre 2025 No difundir este material sin autorización previa | 7810% 10%10%8%20%,Apertura Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,Marcela Campagnoli senadora y Hernán Reyes diputado por la Coalición Cívica,desconocido,PROYE,0.3487
